sample	sig_cat	prop
01-052-T	SBS25	0.00684867396304354
03-053-T	SBS5	0.44801914915775315
03-053-T	SBS6	0.21598866134353178
03-053-T	SBS2/13	6.334176611638097e-14
03-053-T	SBS25	0.3359921894986518
01-053-T	SBS5	0.18401919823572707
01-053-T	SBS6	0.4410533153160522
01-053-T	SBS2/13	4.210649289840204e-14
01-053-T	SBS25	0.3749274864481787
01-054-T	SBS6	0.793684978921902
01-054-T	SBS5	0.1501465134639311
01-054-T	SBS25	9.790177462627867e-15
01-054-T	SBS2/13	0.056168507614157065
01-055-T	SBS5	0.44213897270348745
01-055-T	SBS6	0.1952136235097085
01-055-T	SBS2/13	0.33881391308679815
01-055-T	SBS25	0.02383349070000585
01-056-T	SBS6	6.770221651168931e-5
01-056-T	SBS2/13	0.14493099298327627
01-056-T	SBS5	0.5823155992620725
01-056-T	SBS25	0.2726857055381394
01-061-T	SBS5	0.46102624446743834
03-061-T	SBS2/13	0.0932893593752471
03-061-T	SBS6	0.8121310731165978
01-061-T	SBS6	0.3758018197611605
03-061-T	SBS25	0.02645222902018497
01-061-T	SBS2/13	0.11709835119008183
01-061-T	SBS25	0.04607358458131939
03-061-T	SBS5	0.068127338487970035
03-062-T	SBS6	0.3784688541063177
03-062-T	SBS5	0.41604980725725227
01-062-T	SBS5	0.5767284289840625
01-062-T	SBS2/13	0.09563122260578916
03-062-T	SBS2/13	0.08840533173549074
01-062-T	SBS25	0.01508164642738662
01-062-T	SBS6	0.3125587019827617
03-062-T	SBS25	0.11707600690093917
01-064-T	SBS6	0.19798672102082154
01-064-T	SBS2/13	0.3277449280415279
01-064-T	SBS5	0.41800669147365255
01-064-T	SBS25	0.05626165946399799
01-065-T	SBS5	0.3336820924234849
01-065-T	SBS6	0.24345372654308306
01-065-T	SBS2/13	0.3355858100710916
01-065-T	SBS25	0.08727837096234044
01-066-T	SBS6	0.2717562726413624
01-066-T	SBS2/13	0.0897971030115832
01-066-T	SBS5	0.6384466243470464
01-066-T	SBS25	8.099879438610755e-15
03-074-T	SBS2/13	0.06337294077346714
01-074-T	SBS5	0.2051795639851662
03-074-T	SBS25	0.1950310142241704
03-074-T	SBS5	0.041549474155329905
01-074-T	SBS25	0.5125893866329874
01-074-T	SBS2/13	0.07400626211163211
01-074-T	SBS6	0.20822478727021426
03-074-T	SBS6	0.7000465708470326
01-075-T	SBS2/13	0.07411536107861419
01-075-T	SBS5	0.46426868524323844
01-075-T	SBS25	0.20234377536466047
01-075-T	SBS6	0.259272178313487
01-076-T	SBS6	0.3871153644250197
01-076-T	SBS5	0.09359715026930222
01-076-T	SBS2/13	0.12410764214597225
01-076-T	SBS25	0.3951798431597057
01-079-T	SBS5	0.4105356982349019
01-079-T	SBS6	0.28523507632344863
03-079-T	SBS5	0.3006152318068437
03-079-T	SBS6	0.3150446834294335
03-079-T	SBS2/13	0.26249811545407425
03-079-T	SBS25	0.12184196930964852
01-079-T	SBS25	0.14648216126931818
01-079-T	SBS2/13	0.15774706417233125
03-080-T	SBS5	0.15354717710779256
03-080-T	SBS2/13	0.04141233295331948
01-080-T	SBS6	0.3601635902824347
03-080-T	SBS6	0.5709409527333298
01-080-T	SBS2/13	0.12431072133173798
01-080-T	SBS25	0.23189583009539477
01-080-T	SBS5	0.2836298582904325
03-080-T	SBS25	0.23409953720555823
01-081-T	SBS6	0.36739241394502875
01-081-T	SBS5	0.5054166360361103
01-081-T	SBS2/13	0.12719095001885883
01-081-T	SBS25	2.215489440357478e-15
