edge_type	from	to	start_cyto	start_exhau	end_cyto	end_exhau	weight.x	weight.y	weight.diff	weight	wtype	comp_type
CD8_CX3CR1->CD8_FOS	CD8_CX3CR1	CD8_FOS	0.9902034125668278	-0.3559573778319592	0.3481401270001603	-0.2930697342203742	0	0.01018654993647615	-0.01018654993647615	0.01018654993647615	R < NR	Post-treatment: R vs NR
CD8_CXCL13->CD8_FOS	CD8_CXCL13	CD8_FOS	0.7809440965002276	0.5103815243038091	0.3481401270001603	-0.2930697342203742	0	0.01256884542425479	-0.01256884542425479	0.01256884542425479	R < NR	Post-treatment: R vs NR
CD8_CXCL13->CD8_GZMK	CD8_CXCL13	CD8_GZMK	0.7809440965002276	0.5103815243038091	0.654850977444354	-0.2657534061837355	0.01505242470573067	0.01757286349051531	-0.00252043878478464	0.00252043878478464	R < NR	Post-treatment: R vs NR
CD8_CXCL13->CD8_IFIT1	CD8_CXCL13	CD8_IFIT1	0.7809440965002276	0.5103815243038091	0.4444235689085628	-0.10561343311326596	0	0.01157728963368302	-0.01157728963368302	0.01157728963368302	R < NR	Post-treatment: R vs NR
CD8_CXCL13->CD8_TYMS	CD8_CXCL13	CD8_TYMS	0.7809440965002276	0.5103815243038091	0.508437609318502	0.26732562597304077	0	0.0750082080666187	-0.0750082080666187	0.0750082080666187	R < NR	Post-treatment: R vs NR
CD8_CXCL13->T_Mito	CD8_CXCL13	T_Mito	0.7809440965002276	0.5103815243038091	0.18471069273661125	-0.07486414163307066	0.01817261009108778	0.0302134521540978	-0.01204084206301002	0.01204084206301002	R < NR	Post-treatment: R vs NR
CD8_CXCL13->T_MKI67	CD8_CXCL13	T_MKI67	0.7809440965002276	0.5103815243038091	0.3221173238475757	0.1120220195887803	0	0.05518155714669363	-0.05518155714669363	0.05518155714669363	R < NR	Post-treatment: R vs NR
CD8_CXCL13->T_Ribo	CD8_CXCL13	T_Ribo	0.7809440965002276	0.5103815243038091	0.23379748203423675	-0.1925387180772601	0.01391844768880482	0.01855474872820273	-0.004636301039397911	0.004636301039397911	R < NR	Post-treatment: R vs NR
CD8_FOS->CD8_GZMK	CD8_FOS	CD8_GZMK	0.3481401270001603	-0.2930697342203742	0.654850977444354	-0.2657534061837355	0.06532436532779032	0.07216655414022526	-0.006842188812434938	0.006842188812434938	R < NR	Post-treatment: R vs NR
CD8_FOS->CD8_IFIT1	CD8_FOS	CD8_IFIT1	0.3481401270001603	-0.2930697342203742	0.4444235689085628	-0.10561343311326596	0	0.01012067272072451	-0.01012067272072451	0.01012067272072451	R < NR	Post-treatment: R vs NR
CD8_FOS->T_Mito	CD8_FOS	T_Mito	0.3481401270001603	-0.2930697342203742	0.18471069273661125	-0.07486414163307066	0.02422493914281883	0.0167374753879193	0.0074874637548995315	0.0074874637548995315	R > NR	Post-treatment: R vs NR
CD8_FOS->T_Ribo	CD8_FOS	T_Ribo	0.3481401270001603	-0.2930697342203742	0.23379748203423675	-0.1925387180772601	0.018827107954922	0.0125965885111727	0.006230519443749298	0.006230519443749298	R > NR	Post-treatment: R vs NR
CD8_GZMK->CD8_IFIT1	CD8_GZMK	CD8_IFIT1	0.654850977444354	-0.2657534061837355	0.4444235689085628	-0.10561343311326596	0	0.01612737658022248	-0.01612737658022248	0.01612737658022248	R < NR	Post-treatment: R vs NR
CD8_GZMK->T_Mito	CD8_GZMK	T_Mito	0.654850977444354	-0.2657534061837355	0.18471069273661125	-0.07486414163307066	0.02467537052665377	0.02147428604152583	0.003201084485127941	0.003201084485127941	R > NR	Post-treatment: R vs NR
CD8_GZMK->T_MKI67	CD8_GZMK	T_MKI67	0.654850977444354	-0.2657534061837355	0.3221173238475757	0.1120220195887803	0	0.01069760163174687	-0.01069760163174687	0.01069760163174687	R < NR	Post-treatment: R vs NR
CD8_GZMK->T_Ribo	CD8_GZMK	T_Ribo	0.654850977444354	-0.2657534061837355	0.23379748203423675	-0.1925387180772601	0.01796697875130853	0.0183895355325477	-4.225567812391681e-4	4.225567812391681e-4	R < NR	Post-treatment: R vs NR
CD8_IFIT1->CD8_TYMS	CD8_IFIT1	CD8_TYMS	0.4444235689085628	-0.10561343311326596	0.508437609318502	0.26732562597304077	0	0.01021296084077855	-0.01021296084077855	0.01021296084077855	R < NR	Post-treatment: R vs NR
CD8_IFIT1->T_MKI67	CD8_IFIT1	T_MKI67	0.4444235689085628	-0.10561343311326596	0.3221173238475757	0.1120220195887803	0	0.01003815361550912	-0.01003815361550912	0.01003815361550912	R < NR	Post-treatment: R vs NR
CD8_TYMS->T_Mito	CD8_TYMS	T_Mito	0.508437609318502	0.26732562597304077	0.18471069273661125	-0.07486414163307066	0	0.01791364737367181	-0.01791364737367181	0.01791364737367181	R < NR	Post-treatment: R vs NR
