response	sample_type	source	target	n_interaction	prob_mean	prob_med
R	post	B & Plasma	T cells	21	0.03906163391385553	0.03592722505428061
R	post	B & Plasma	Tumor_Gp1	5	0.017612946532550397	0.004028698145652687
R	post	Endothelial	B & Plasma	40	0.020787000868584305	0.006467057205922094
R	post	Endothelial	Endothelial	72	0.021817018711903727	0.008608552627877545
R	post	Endothelial	Fibroblast	72	0.011761919222175414	0.005322102830021439
R	post	Endothelial	Myeloid	56	0.02165464109202296	0.010686550099780845
R	post	Endothelial	T cells	47	0.03798867314143416	0.02470478491603853
R	post	Endothelial	Tumor_Gp1	76	0.013320402141203206	0.00704360446681594
R	post	Endothelial	Tumor_Gp2	1	0.07567200824232513	0.07567200824232513
R	post	Fibroblast	B & Plasma	55	0.027501542889203222	0.01275982732467766
R	post	Fibroblast	Endothelial	92	0.020715810467371854	0.01085107183589359
R	post	Fibroblast	Fibroblast	112	0.01709539785384756	0.00789353403488546
R	post	Fibroblast	Myeloid	63	0.03399578120451949	0.011963369662811568
R	post	Fibroblast	T cells	50	0.04866734169819259	0.03215728289185228
R	post	Fibroblast	Tumor_Gp1	113	0.025716629191656758	0.014881495819909057
R	post	Fibroblast	Tumor_Gp2	1	0.07501923321026645	0.07501923321026645
R	post	Myeloid	B & Plasma	19	0.01434331128818151	0.00311788742867518
R	post	Myeloid	Endothelial	23	0.024436956126363374	0.007697808607669926
R	post	Myeloid	Fibroblast	25	0.013757726555233295	0.005808792492055874
R	post	Myeloid	Myeloid	35	0.016046184411237566	0.009851690402589607
R	post	Myeloid	T cells	33	0.030456019027042033	0.020489597326991127
R	post	Myeloid	Tumor_Gp1	16	0.016792146308053906	0.007874714434258013
R	post	T cells	B & Plasma	6	0.046081823102878304	0.02254748083103027
R	post	T cells	Endothelial	16	0.029682475996226414	0.009082337423375076
R	post	T cells	Fibroblast	18	0.01759105193181097	0.005659621611805386
R	post	T cells	Myeloid	19	0.021981784252227896	0.008257627589026798
R	post	T cells	T cells	24	0.049994220563181146	0.03734579045054061
R	post	T cells	Tumor_Gp1	9	0.0233806047520611	0.008475830227244897
R	post	Tumor_Gp1	B & Plasma	12	0.04589415761468144	0.01035073193557404
R	post	Tumor_Gp1	Endothelial	26	0.020516490250068083	0.008857047044430369
R	post	Tumor_Gp1	Fibroblast	23	0.017451039730960276	0.00822726091066096
R	post	Tumor_Gp1	Myeloid	22	0.02959531399192249	0.007194241894359096
R	post	Tumor_Gp1	T cells	27	0.03567266163324971	0.02262637582767342
R	post	Tumor_Gp1	Tumor_Gp1	52	0.015426464329470582	0.005455950344010179
R	post	Tumor_Gp2	B & Plasma	1	0.15291637130343153	0.15291637130343153
R	post	Tumor_Gp2	Endothelial	1	0.07567200824232513	0.07567200824232513
R	post	Tumor_Gp2	Fibroblast	3	0.052484016673515	0.05868500692988601
R	post	Tumor_Gp2	Myeloid	5	0.055852822577827414	0.060349787266718795
R	post	Tumor_Gp2	T cells	3	0.08129778696242426	0.09083796948809687
R	pre	B & Plasma	B & Plasma	14	0.021238280066905785	0.007933246434747123
R	pre	B & Plasma	Endothelial	15	0.011921438277023013	0.0034072006172043957
R	pre	B & Plasma	Fibroblast	20	0.0073741881591613614	0.0025138128746547356
R	pre	B & Plasma	Myeloid	35	0.014432467871833188	0.005631213156204323
R	pre	B & Plasma	T cells	41	0.023118850616915924	0.011447442769705938
R	pre	B & Plasma	Tumor_Gp1	27	0.004854089401710616	0.0011169522628152724
R	pre	B & Plasma	Tumor_Gp2	1	0.0021495409447673834	0.0021495409447673834
R	pre	Endothelial	B & Plasma	44	0.026924737119981685	0.012450370943401914
R	pre	Endothelial	Endothelial	84	0.02219743968275666	0.014041454080752351
R	pre	Endothelial	Fibroblast	95	0.01658854669351363	0.0062555796917567125
R	pre	Endothelial	Myeloid	79	0.02566742917184049	0.00976423066151898
R	pre	Endothelial	T cells	58	0.036566474647356885	0.021958528720887924
R	pre	Endothelial	Tumor_Gp1	139	0.014749181524591573	0.0067478392582998046
R	pre	Fibroblast	B & Plasma	58	0.029227567441914303	0.011081206650099547
R	pre	Fibroblast	Endothelial	106	0.025165885293489846	0.015814909211131996
R	pre	Fibroblast	Fibroblast	152	0.01981548722852393	0.007763956842768826
R	pre	Fibroblast	Myeloid	102	0.02931557777956664	0.009187189999323022
R	pre	Fibroblast	T cells	63	0.04395366206084244	0.02139196306808502
