source	target	weight.x	weight.y	weight.diff	weight	comp_type	weight_type
Tumor_Gp2	Fibroblast	0.052484016673515	0.02895970020224844	0.02352431647126656	0.02352431647126656	Post-treatment: R vs NR	R > NR
Tumor_Gp2	Myeloid	0.05585282257782741	0.03678507547055348	0.01906774710727393	0.01906774710727393	Post-treatment: R vs NR	R > NR
Tumor_Gp2	T cells	0.08129778696242426	0.05447292649083803	0.026824860471586234	0.026824860471586234	Post-treatment: R vs NR	R > NR
Tumor_Gp2	Tumor_Gp2	0	0.02427825203923826	-0.02427825203923826	0.02427825203923826	Post-treatment: R vs NR	R < NR
B & Plasma	B & Plasma	0.02123828006690578	0.02591775390322115	-0.004679473836315368	0.004679473836315368	Pre-treatment: R vs NR	R < NR
B & Plasma	Endothelial	0.01192143827702301	0.01254746439992221	-6.260261228991995e-4	6.260261228991995e-4	Pre-treatment: R vs NR	R < NR
B & Plasma	Fibroblast	0.00737418815916136	0.01076601511782769	-0.003391826958666331	0.003391826958666331	Pre-treatment: R vs NR	R < NR
B & Plasma	Myeloid	0.01443246787183318	0.01376962313155015	6.628447402830303e-4	6.628447402830303e-4	Pre-treatment: R vs NR	R > NR
B & Plasma	T cells	0.02311885061691592	0.03169403332958398	-0.00857518271266806	0.00857518271266806	Pre-treatment: R vs NR	R < NR
B & Plasma	Tumor_Gp1	0.00485408940171061	0.01262407669534142	-0.00776998729363081	0.00776998729363081	Pre-treatment: R vs NR	R < NR
B & Plasma	Tumor_Gp2	0.00214954094476738	0	0.00214954094476738	0.00214954094476738	Pre-treatment: R vs NR	R > NR
Endothelial	B & Plasma	0.02692473711998168	0.02352582346004052	0.0033989136599411607	0.0033989136599411607	Pre-treatment: R vs NR	R > NR
Endothelial	Endothelial	0.02219743968275666	0.0206396327737102	0.001557806909046458	0.001557806909046458	Pre-treatment: R vs NR	R > NR
Endothelial	Fibroblast	0.01658854669351363	0.01633854517498479	2.500015185288411e-4	2.500015185288411e-4	Pre-treatment: R vs NR	R > NR
Endothelial	Myeloid	0.02566742917184049	0.02704676187384746	-0.0013793327020069704	0.0013793327020069704	Pre-treatment: R vs NR	R < NR
Endothelial	T cells	0.03656647464735688	0.03840574227277613	-0.0018392676254192497	0.0018392676254192497	Pre-treatment: R vs NR	R < NR
Endothelial	Tumor_Gp1	0.01474918152459157	0.01730591713269949	-0.002556735608107921	0.002556735608107921	Pre-treatment: R vs NR	R < NR
Fibroblast	B & Plasma	0.0292275674419143	0.02909480546176831	1.3276198014599075e-4	1.3276198014599075e-4	Pre-treatment: R vs NR	R > NR
Fibroblast	Endothelial	0.02516588529348984	0.02418689058082675	9.789947126630887e-4	9.789947126630887e-4	Pre-treatment: R vs NR	R > NR
Fibroblast	Fibroblast	0.01981548722852393	0.021877689961986	-0.0020622027334620714	0.0020622027334620714	Pre-treatment: R vs NR	R < NR
Fibroblast	Myeloid	0.02931557777956664	0.0348405018253515	-0.005524924045784859	0.005524924045784859	Pre-treatment: R vs NR	R < NR
Fibroblast	T cells	0.04395366206084244	0.04646622512062891	-0.00251256305978647	0.00251256305978647	Pre-treatment: R vs NR	R < NR
Fibroblast	Tumor_Gp1	0.02180283417867232	0.02734159055172379	-0.0055387563730514705	0.0055387563730514705	Pre-treatment: R vs NR	R < NR
Fibroblast	Tumor_Gp2	0	0.06432784961891944	-0.06432784961891944	0.06432784961891944	Pre-treatment: R vs NR	R < NR
Myeloid	B & Plasma	0.01812165668653926	0.0117768453735878	0.006344811312951459	0.006344811312951459	Pre-treatment: R vs NR	R > NR
Myeloid	Endothelial	0.01728051151540299	0.01677075666679498	5.097548486080079e-4	5.097548486080079e-4	Pre-treatment: R vs NR	R > NR
Myeloid	Fibroblast	0.01123621845747704	0.01057020706653693	6.660113909401095e-4	6.660113909401095e-4	Pre-treatment: R vs NR	R > NR
Myeloid	Myeloid	0.01672260917075576	0.01732091047696167	-5.983013062059103e-4	5.983013062059103e-4	Pre-treatment: R vs NR	R < NR
Myeloid	T cells	0.0233686142311144	0.02770788187460389	-0.004339267643489488	0.004339267643489488	Pre-treatment: R vs NR	R < NR
Myeloid	Tumor_Gp1	0.01027045993752674	0.01061564524080391	-3.4518530327717033e-4	3.4518530327717033e-4	Pre-treatment: R vs NR	R < NR
