patient	mandard_group	sample_type	cellgp	gene	logcpm	response
P04	poor	Treat	NK	CXCR4	8.10606539908285	NR
P04	poor	Baseline	other CD8	CXCR2	0	NR
P04	poor	Baseline	cytotoxic CD8	CX3CR1	1.857344788239129	NR
P04	poor	Treat	Treg	CXCR1	0	NR
P04	poor	Treat	Treg	CXCR2	0	NR
P04	poor	Treat	Treg	CXCR4	7.423099244950321	NR
P04	poor	Treat	cytotoxic CD8	CCR4	3.258977499595672	NR
P04	poor	Treat	other CD8	CX3CR1	0	NR
P04	poor	Baseline	cytotoxic CD8	CCR2	1.3932088230144168	NR
P04	poor	Baseline	cytotoxic CD8	CXCR1	0.19578725312458678	NR
P04	poor	Baseline	exhausted CD8	CXCR3	4.074483820485733	NR
P04	poor	Baseline	other CD8	CXCR1	0	NR
P04	poor	Baseline	exhausted CD8	ACKR3	0.7793259160685081	NR
P04	poor	Treat	other CD8	CCR6	3.52853131567577	NR
P04	poor	Treat	NK	CXCR2	1.7983312527303017	NR
P04	poor	Treat	Treg	CCR6	5.359328358868426	NR
P04	poor	Treat	other CD8	CCR5	3.6309527176515135	NR
P04	poor	Treat	NK	CXCR3	4.863748786425948	NR
P04	poor	Treat	other CD8	CXCR2	0	NR
P04	poor	Treat	Treg	ACKR3	1.4886391487775747	NR
P04	poor	Treat	other CD8	ACKR3	0	NR
P04	poor	Treat	NK	CCR5	2.4050623551259696	NR
P04	poor	Treat	NK	ACKR3	0	NR
P04	poor	Treat	NK	CX3CR1	1.7983312527303017	NR
P04	poor	Treat	NK	CCR4	0	NR
P04	poor	Treat	exhausted CD8	CCR5	3.236733373222491	NR
P04	poor	Baseline	exhausted CD8	CXCR4	7.556837541876359	NR
P04	poor	Treat	Treg	CCR2	1.1900891506571423	NR
P04	poor	Treat	NK	CCR6	3.7212615584090902	NR
P04	poor	Treat	NK	CXCR1	1.2583985658321386	NR
P04	poor	Treat	other CD8	CXCR4	8.131607359102066	NR
P04	poor	Treat	Treg	CCR5	2.6498843643751977	NR
P04	poor	Treat	Treg	CCR4	4.183854971149658	NR
