cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
T_Mito	CXCL13	16101	0.27865812	1518	9.4279858
T_Mito	CST7	16101	0.90728038	5730	35.587852
T_Mito	GZMH	16101	0.44450061	2905	18.042358
T_Mito	GZMK	16101	0.65526613	3550	22.04832
T_Mito	GZMM	16101	0.40201569	2977	18.489535
T_Mito	IFNG	16101	0.28013076	1729	10.738463
T_Mito	PRF1	16101	0.51193722	3365	20.899323
T_Mito	KLRG1	16101	0.19483466	1396	8.6702689
T_Mito	NKG7	16101	1.0000209	5749	35.705857
T_Mito	GZMA	16101	0.87921492	5204	32.320974
T_Mito	CD101	16101	0.10097494	759	4.7139929
T_Mito	CXCR6	16101	0.46893907	3085	19.160301
T_Mito	CD69	16101	1.5406091	8677	53.891063
T_Mito	CX3CR1	16101	0.0050620037	40	0.24843177
T_Mito	ITGAE	16101	0.45390988	3088	19.178933
T_Mito	MT-ATP6	16101	3.1105637	14639	90.919819
T_Mito	MT-ND3	16101	2.3805277	12761	79.255947
T_Mito	ANXA1	16101	0.77522412	4771	29.6317
T_Mito	CCL5	16101	1.9425825	8949	55.580399
T_Mito	KLRB1	16101	0.28431127	1876	11.65145
T_Mito	MKI67	16101	0.040981853	286	1.7762872
T_Mito	RPL30	16101	2.5734553	12142	75.411465
T_Ribo	NCAM1	8102	0.0076422846	33	0.40730684
T_Ribo	FCER1G	8102	0.030586072	115	1.4194026
T_Ribo	KLRC1	8102	0.10958019	414	5.1098494
T_Ribo	TYROBP	8102	0.05214238	200	2.4685263
T_Ribo	CD3E	8102	2.1107342	6626	81.782276
T_Ribo	CD4	8102	0.22482452	991	12.231548
T_Ribo	TNFRSF4	8102	0.27584925	1045	12.89805
T_Ribo	CD8A	8102	0.86423291	2711	33.460874
T_Ribo	CD8B	8102	0.51408465	1896	23.401629
T_Ribo	FOXP3	8102	0.13841527	510	6.294742
T_Ribo	IKZF2	8102	0.11299551	455	5.6158973
T_Ribo	CCR7	8102	0.35571338	1386	17.106887
T_Ribo	SELL	8102	0.34949329	1380	17.032831
T_Ribo	TCF7	8102	0.31843447	1388	17.131572
T_Ribo	IL7R	8102	1.3865528	4021	49.629721
T_Ribo	PDCD1	8102	0.31366969	1274	15.724512
T_Ribo	HAVCR2	8102	0.11494279	445	5.492471
T_Ribo	ENTPD1	8102	0.17562969	655	8.0844236
T_Ribo	TNFRSF9	8102	0.1264769	491	6.060232
T_Ribo	CXCL13	8102	0.33593318	931	11.49099
T_Ribo	CST7	8102	1.2301194	4059	50.098741
T_Ribo	GZMH	8102	0.56315262	1948	24.043446
T_Ribo	GZMK	8102	0.74497215	2187	26.993335
T_Ribo	GZMM	8102	0.59757409	2525	31.165144
T_Ribo	IFNG	8102	0.25329635	908	11.207109
T_Ribo	PRF1	8102	0.51672264	1928	23.796593
T_Ribo	KLRG1	8102	0.18014368	765	9.4421131
T_Ribo	NKG7	8102	1.1506277	3292	40.631943
T_Ribo	GZMA	8102	1.1210472	3449	42.569736
T_Ribo	CD101	8102	0.066894868	302	3.7274747
T_Ribo	CXCR6	8102	0.46661738	1708	21.081215
T_Ribo	CD69	8102	1.2921791	4244	52.382128
T_Ribo	CX3CR1	8102	0.0031570625	14	0.17279684
T_Ribo	ITGAE	8102	0.3836842	1559	19.242162
T_Ribo	MT-ATP6	8102	1.2329266	3961	48.889163
T_Ribo	MT-ND3	8102	0.85714727	3078	37.99062
T_Ribo	ANXA1	8102	1.0426575	3505	43.260923
T_Ribo	CCL5	8102	2.1064594	4791	59.133547
T_Ribo	KLRB1	8102	0.56755272	1964	24.240928
T_Ribo	MKI67	8102	0.022671618	88	1.0861516
T_Ribo	RPL30	8102	3.844222	7870	97.13651
Treg_LTB	NCAM1	15682	0.014307308	129	0.82259916
Treg_LTB	FCER1G	15682	0.017559679	167	1.0649152
Treg_LTB	KLRC1	15682	0.0015965631	14	0.089274327
Treg_LTB	TYROBP	15682	0.024061263	238	1.5176636
Treg_LTB	CD3E	15682	2.0733004	13890	88.572886
Treg_LTB	CD4	15682	0.44312553	4383	27.949241
Treg_LTB	TNFRSF4	15682	1.2597176	8893	56.708328
Treg_LTB	CD8A	15682	0.029085078	236	1.5049101
Treg_LTB	CD8B	15682	0.013269855	122	0.77796199
Treg_LTB	FOXP3	15682	1.211672	9210	58.729754
Treg_LTB	IKZF2	15682	0.6153939	5615	35.805382
Treg_LTB	CCR7	15682	0.65997693	4902	31.258768
Treg_LTB	SELL	15682	0.95734083	7692	49.049866
Treg_LTB	TCF7	15682	0.12080747	1269	8.0920801
Treg_LTB	IL7R	15682	1.3576625	9392	59.89032
Treg_LTB	PDCD1	15682	0.14783031	1428	9.1059814
Treg_LTB	HAVCR2	15682	0.056345793	572	3.6474939
Treg_LTB	ENTPD1	15682	0.22769185	2167	13.818391
Treg_LTB	TNFRSF9	15682	0.5066529	4439	28.306338
Treg_LTB	CXCL13	15682	0.028670433	196	1.2498406
Treg_LTB	CST7	15682	0.86639068	7126	45.440633
Treg_LTB	GZMH	15682	0.019615021	159	1.0139013
Treg_LTB	GZMK	15682	0.055307418	398	2.5379416
Treg_LTB	GZMM	15682	0.30396743	2982	19.015432
Treg_LTB	IFNG	15682	0.02358589	197	1.2562173
Treg_LTB	PRF1	15682	0.14736708	1520	9.6926412
Treg_LTB	KLRG1	15682	0.030266435	331	2.1107002
Treg_LTB	NKG7	15682	0.040610792	337	2.1489606
Treg_LTB	GZMA	15682	0.091592332	764	4.8718276
Treg_LTB	CD101	15682	0.045935846	477	3.0417039
Treg_LTB	CXCR6	15682	0.53063884	4334	27.636781
Treg_LTB	CD69	15682	1.1233802	7881	50.25507
Treg_LTB	CX3CR1	15682	0.0032237786	33	0.21043234
Treg_LTB	ITGAE	15682	0.16638331	1711	10.910598
Treg_LTB	MT-ATP6	15682	2.0922742	13366	85.231476
Treg_LTB	MT-ND3	15682	1.6102142	11622	74.110445
Treg_LTB	ANXA1	15682	0.25496729	1822	11.618416
Treg_LTB	CCL5	15682	0.10349501	775	4.9419717
Treg_LTB	KLRB1	15682	0.2755544	2288	14.589976
Treg_LTB	MKI67	15682	0.010510499	110	0.70144114
Treg_LTB	RPL30	15682	3.6643833	15442	98.469583
Treg_TNFRSF4	NCAM1	30645	0.072728713	1809	5.9030837
Treg_TNFRSF4	FCER1G	30645	0.018729862	475	1.5500082
Treg_TNFRSF4	KLRC1	30645	0.013100091	333	1.0866373
Treg_TNFRSF4	TYROBP	30645	0.025338031	636	2.0753793
Treg_TNFRSF4	CD3E	30645	2.4036801	29844	97.386197
Treg_TNFRSF4	CD4	30645	0.78466422	17038	55.597977
Treg_TNFRSF4	TNFRSF4	30645	2.3786518	26774	87.368249
Treg_TNFRSF4	CD8A	30645	0.10223122	1793	5.8508729
Treg_TNFRSF4	CD8B	30645	0.049882718	1158	3.7787567
Treg_TNFRSF4	FOXP3	30645	1.9451051	26690	87.094143
Treg_TNFRSF4	IKZF2	30645	0.80230141	16533	53.950073
Treg_TNFRSF4	CCR7	30645	0.25562658	4546	14.834394
Treg_TNFRSF4	SELL	30645	0.81173413	16227	52.951542
Treg_TNFRSF4	TCF7	30645	0.051852672	1387	4.5260238
Treg_TNFRSF4	IL7R	30645	1.5384665	22020	71.855115
Treg_TNFRSF4	PDCD1	30645	0.27634415	6623	21.612008
Treg_TNFRSF4	HAVCR2	30645	0.18940917	5044	16.459455
Treg_TNFRSF4	ENTPD1	30645	0.63167607	12901	42.098222
Treg_TNFRSF4	TNFRSF9	30645	1.0593143	18625	60.776636
Treg_TNFRSF4	CXCL13	30645	0.058560267	901	2.9401207
Treg_TNFRSF4	CST7	30645	1.4819468	23090	75.346712
Treg_TNFRSF4	GZMH	30645	0.072528482	1522	4.9665525
Treg_TNFRSF4	GZMK	30645	0.067125564	1082	3.5307554
Treg_TNFRSF4	GZMM	30645	0.42877292	9865	32.191222
Treg_TNFRSF4	IFNG	30645	0.036407472	812	2.6496982
Treg_TNFRSF4	PRF1	30645	0.39551943	9312	30.386686
Treg_TNFRSF4	KLRG1	30645	0.032952173	948	3.09349
Treg_TNFRSF4	NKG7	30645	0.18754019	3307	10.79132
Treg_TNFRSF4	GZMA	30645	0.20769345	3523	11.496166
Treg_TNFRSF4	CD101	30645	0.054883039	1480	4.8294991
Treg_TNFRSF4	CXCR6	30645	1.3528117	21676	70.732583
Treg_TNFRSF4	CD69	30645	0.80702557	14068	45.906347
Treg_TNFRSF4	CX3CR1	30645	0.019546432	602	1.9644314
