symbol	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
CXCL5	logcpm	R-pre	R-post	22	19	389	2.693450879100147e-6	Wilcoxon rank-sum test	5.531327605942071	0	5.531327605942071	1	5.9738338144174365	1	2	5.386901758200294e-6	5.39e-06	BH	two.sided	FALSE
CXCL5	logcpm	NR-pre	NR-post	16	13	165	0.007975611813564196	Wilcoxon rank-sum test	5.531327605942071	0	5.531327605942071	2	6.637593127130485	3	4	0.007975611813564196	7.98e-03	BH	two.sided	FALSE
CXCL9	logcpm	R-pre	R-post	22	19	339	7.099870380201762e-4	Wilcoxon rank-sum test	5.953157805533211	0.5694015654581209	5.38375624007509	1	6.383858304739218	1	2	0.0014199740760403525	1.42e-03	BH	two.sided	FALSE
CXCL9	logcpm	NR-pre	NR-post	16	13	89	0.5248630714869413	Wilcoxon rank-sum test	5.953157805533211	0.5694015654581209	5.38375624007509	2	7.029909053548229	3	4	0.5248630714869413	5.25e-01	BH	two.sided	FALSE
CXCL10	logcpm	R-pre	R-post	22	19	356	1.280666420514568e-4	Wilcoxon rank-sum test	6.961473174160598	0.328696582619831	6.632776591540766	1	7.492095301483859	1	2	2.561332841029136e-4	2.56e-04	BH	two.sided	FALSE
CXCL10	logcpm	NR-pre	NR-post	16	13	120	0.49668179200160284	Wilcoxon rank-sum test	6.961473174160598	0.328696582619831	6.632776591540766	2	8.28802849246875	3	4	0.49668179200160284	4.97e-01	BH	two.sided	FALSE
CXCL11	logcpm	R-pre	R-post	22	19	274	0.09173600418801964	Wilcoxon rank-sum test	4.72796614536648	0.23438906939896131	4.493577075967519	1	5.087452311443881	1	2	0.18347200837603928	1.83e-01	BH	two.sided	FALSE
CXCL11	logcpm	NR-pre	NR-post	16	13	91	0.5835811785439937	Wilcoxon rank-sum test	4.72796614536648	0.23438906939896131	4.493577075967519	2	5.626681560559984	3	4	0.5835811785439937	5.84e-01	BH	two.sided	FALSE
CXCL12	logcpm	R-pre	R-post	22	19	0	5.006010384211898e-8	Wilcoxon rank-sum test	6.171411737297304	0.39731903764691257	5.774092699650391	1	6.633339153269335	1	2	1.0012020768423796e-7	1.00e-07	BH	two.sided	FALSE
CXCL12	logcpm	NR-pre	NR-post	16	13	16	1.2448117415176543e-4	Wilcoxon rank-sum test	6.171411737297304	0.39731903764691257	5.774092699650391	2	7.326230277227382	3	4	1.2448117415176543e-4	1.24e-04	BH	two.sided	FALSE
