response	sample_type	clone_cat	celltype	n_cell	n_cell_total	cell_proportion	response_stype
NR	pre	Expanded clones in exhausted clusters	Treg_TNFRSF4	52	1809	0.028745163073521283	NR-pre
NR	pre	Expanded clones in exhausted clusters	T_Mito	26	1809	0.014372581536760642	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD4_KLRB1	36	1809	0.01990049751243781	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_CD74	45	1809	0.024875621890547265	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_IFIT1	26	1809	0.014372581536760642	NR-pre
NR	pre	Expanded clones in exhausted clusters	T_IL7R	1	1809	5.52791597567717e-4	NR-pre
NR	pre	Expanded clones in exhausted clusters	T_Ribo	16	1809	0.008844665561083471	NR-pre
NR	pre	Expanded clones in exhausted clusters	Treg_LTB	5	1809	0.002763957987838585	NR-pre
NR	post	Expanded clones in exhausted clusters	CD8_ANXA1	385	9835	0.03914590747330961	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_CCL5	1273	9835	0.12943568886629384	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_CX3CR1	51	9835	0.005185561769191663	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_FOS	293	9835	0.029791560752414844	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_GZMK	468	9835	0.04758515505846467	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_KLRB1	65	9835	0.0066090493136756485	NR-post
NR	post	Expanded clones in exhausted clusters	CD4_CXCL13	209	9835	0.02125063548551093	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_CXCL13	3685	9835	0.3746822572445348	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_TYMS	941	9835	0.09567869852567361	NR-post
NR	post	Expanded clones in exhausted clusters	T_MKI67	760	9835	0.07727503812913065	NR-post
NR	post	Expanded clones in exhausted clusters	Treg_TNFRSF4	244	9835	0.024809354346720894	NR-post
NR	post	Expanded clones in exhausted clusters	T_Mito	466	9835	0.047381799694966954	NR-post
NR	post	Expanded clones in exhausted clusters	CD4_KLRB1	379	9835	0.038535841382816474	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_CD74	88	9835	0.008947635993899338	NR-post
NR	post	Expanded clones in exhausted clusters	CD8_IFIT1	154	9835	0.015658362989323844	NR-post
NR	post	Expanded clones in exhausted clusters	T_IL7R	8	9835	8.13421453990849e-4	NR-post
NR	post	Expanded clones in exhausted clusters	T_Ribo	323	9835	0.03284189120488053	NR-post
NR	post	Expanded clones in exhausted clusters	Treg_LTB	43	9835	0.004372140315200813	NR-post
